14:14:23 [AccountInfo] Account connected (Account: admin, IpAddress: 143.208.15.72, GameServerCode: 0)
14:15:39 [AccountInfo] Account disconnected (Account: admin, IpAddress: 143.208.15.72, GameServerCode: 0)
14:16:37 [AccountInfo] Account connected (Account: admin, IpAddress: 143.208.15.72, GameServerCode: 1)
14:16:58 [AccountInfo] Account disconnected (Account: admin, IpAddress: 143.208.15.72, GameServerCode: 0)
16:52:47 [AccountInfo] Account connected (Account: admin, IpAddress: 143.208.15.72, GameServerCode: 0)
16:55:31 [AccountInfo] Account disconnected (Account: admin, IpAddress: 143.208.15.72, GameServerCode: 0)
16:55:40 [AccountInfo] Account connected (Account: teste1, IpAddress: 127.0.0.1, GameServerCode: 0)
16:55:40 [AccountInfo] Account connected (Account: teste10, IpAddress: 127.0.0.1, GameServerCode: 0)
16:55:40 [AccountInfo] Account connected (Account: teste11, IpAddress: 127.0.0.1, GameServerCode: 0)
16:55:40 [AccountInfo] Account connected (Account: teste12, IpAddress: 127.0.0.1, GameServerCode: 0)
16:55:40 [AccountInfo] Account connected (Account: teste13, IpAddress: 127.0.0.1, GameServerCode: 0)
16:55:40 [AccountInfo] Account connected (Account: teste14, IpAddress: 127.0.0.1, GameServerCode: 0)
16:55:40 [AccountInfo] Account connected (Account: teste15, IpAddress: 127.0.0.1, GameServerCode: 0)
16:55:40 [AccountInfo] Account connected (Account: teste16, IpAddress: 127.0.0.1, GameServerCode: 0)
16:55:40 [AccountInfo] Account connected (Account: teste2, IpAddress: 127.0.0.1, GameServerCode: 0)
16:55:40 [AccountInfo] Account connected (Account: teste3, IpAddress: 127.0.0.1, GameServerCode: 0)
