11:14:41 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:15:40 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:16:09 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:16:25 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:16:52 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:17:08 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:17:55 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:18:11 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:25:15 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:26:09 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:27:05 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:43:11 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:43:58 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 19)
11:45:57 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:46:35 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:49:40 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:49:49 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:52:00 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:59:17 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:03:39 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:05:03 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:07:26 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 1)
12:09:37 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 1)
12:10:02 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 1)
12:12:26 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:12:37 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:15:18 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:15:28 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:17:38 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:17:43 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:19:35 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:20:37 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:23:45 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:24:00 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:25:48 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:25:54 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:27:52 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:30:26 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:39:14 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:39:55 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:43:26 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:44:34 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:45:01 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:47:33 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:49:41 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:55:28 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
14:49:11 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
14:49:46 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
15:34:44 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
15:35:12 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
15:40:14 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
15:40:47 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
15:49:56 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
15:52:06 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
15:58:25 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
15:58:39 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:05:25 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:05:40 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:18:54 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:19:02 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:20:38 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:20:52 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:22:15 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:22:31 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:22:52 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:22:59 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:26:14 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:26:47 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
19:23:17 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.14, GameServerCode: 1)
19:24:36 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.14, GameServerCode: 1)
19:27:22 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.14, GameServerCode: 1)
19:28:42 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.14, GameServerCode: 1)
19:31:23 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.14, GameServerCode: 1)
