08:44:44 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
08:44:52 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
08:47:32 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
08:48:28 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
08:42:07 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
08:42:57 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
08:46:41 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
08:46:48 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
08:47:36 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
08:50:18 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
08:52:52 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
08:53:41 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
08:54:47 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
08:54:54 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
08:56:03 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
08:56:08 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
08:59:00 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
08:59:07 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:03:06 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:03:15 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:05:06 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:05:18 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:15:03 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:15:17 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:16:18 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:17:37 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:19:48 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:21:01 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:22:31 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:24:35 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:25:56 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:26:04 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:31:58 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:32:29 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:34:37 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:34:44 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:35:59 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:36:10 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:41:36 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:41:39 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:44:39 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:44:49 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:46:49 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:46:55 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:47:34 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:47:48 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:57:14 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
09:57:22 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
10:02:32 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
10:02:43 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
10:06:17 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
10:06:43 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
10:09:32 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
10:10:10 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
10:23:20 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
10:24:46 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
10:26:22 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:17:36 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:17:58 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:21:36 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:21:53 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:22:58 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:23:29 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:24:27 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:24:39 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:31:27 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:31:44 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:40:50 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:41:03 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:52:23 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
11:52:51 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:07:11 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:07:45 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:27:24 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:27:39 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:35:27 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
12:35:45 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
13:09:43 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
13:10:56 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
13:26:11 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
13:26:31 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
13:27:57 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
13:49:14 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
13:49:27 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
13:55:38 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
13:56:11 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
13:57:22 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
13:57:44 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
13:58:54 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
13:59:07 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
14:12:00 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
14:12:18 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
14:30:40 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
14:30:56 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:49:54 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:50:05 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:51:20 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:51:31 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:53:12 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:53:20 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
16:59:49 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
17:00:08 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
17:15:45 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
17:15:57 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
18:17:35 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
18:17:49 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
18:59:03 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
19:02:34 [AccountInfo] Account disconnected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
19:07:32 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
19:07:40 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
19:22:53 [AccountInfo] Account connected (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
19:23:05 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 45.71.224.14, GameServerCode: 0)
