08:44:14 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
08:44:29 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
08:45:44 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
08:46:04 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
08:46:41 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
08:46:48 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:09:56 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:10:13 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:10:58 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:11:09 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:11:27 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:11:40 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:13:06 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:13:18 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:14:30 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:14:45 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:15:20 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:15:27 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:20:42 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:21:18 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:22:30 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:40:13 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:41:09 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:45:00 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:46:35 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:47:00 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:48:19 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:54:26 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:55:07 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:55:52 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
09:57:00 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
10:04:08 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
10:04:37 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
10:17:07 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
10:18:46 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
10:19:29 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
10:28:13 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
10:31:24 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
10:49:10 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
11:19:48 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
11:24:07 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
11:36:47 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
11:45:48 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
11:48:59 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
11:53:32 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
12:13:40 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
12:14:19 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
13:26:15 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
13:46:17 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
14:00:48 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
14:06:21 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
14:13:58 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
