10:51:06 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
10:53:15 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
10:56:51 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
10:58:48 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
11:01:37 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
11:03:02 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
11:04:25 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
11:05:27 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
11:07:18 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 1)
11:09:10 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
11:13:01 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
11:14:08 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
11:15:54 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
11:16:30 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
11:28:49 [AccountInfo] Account connected (Account: hijo, IpAddress: 138.186.116.99, GameServerCode: 0)
11:30:02 [AccountInfo] Account disconnected (Account: hijo, IpAddress: 138.186.116.99, GameServerCode: 0)
11:30:15 [AccountInfo] Account connected (Account: joao, IpAddress: 138.186.116.99, GameServerCode: 0)
11:30:32 [AccountInfo] Account disconnected (Account: joao, IpAddress: 138.186.116.99, GameServerCode: 0)
13:25:52 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
13:26:58 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
13:49:44 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
13:50:14 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
14:03:36 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
14:04:48 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
14:06:21 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
14:08:02 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
14:28:19 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
14:32:52 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
15:31:37 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
15:31:46 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
15:53:29 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
15:54:01 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
15:54:53 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
15:55:16 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
15:57:13 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
15:57:26 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
15:58:38 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
15:58:52 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
16:08:11 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
16:08:30 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
16:09:44 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
16:10:06 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
16:11:28 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
16:11:37 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
16:13:57 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
16:14:09 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
17:45:09 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
17:46:23 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
17:48:42 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
17:49:10 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
18:33:15 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
18:33:38 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
18:34:42 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
18:34:57 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
18:44:16 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
18:44:23 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
19:34:01 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
19:34:54 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.99, GameServerCode: 0)
